region,epid,n_lepi,n_plant,sN_multidiv,n_red_list_lepi_pa,n_red_list_plant_pa,av_threat_lepi_pa,av_threat_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,cwm_av_crops,cwm_n_crop_pest,biomass_lepi,sum_abund_lepi
SCH,SEG28,9,9,1.5625,0,0,0,0,89,73,18,1,0.2222222222222222,0.3436970944169158,1.258721384142144,0,3.5142600144674696,26
SCH,SEG29,6,9,1.2291666666666663,0,0,0,0,92,74,6,0,0.1111111111111111,0.31246069453217706,0.7210570543488701,0,1.788539752911648,10
SCH,SEG31,5,10,1.1805555555555556,0,0,0,0,89,66,19,0,0.38,2.4431210963526784,0.19847539936975103,0,2.3687355272981794,30
SCH,SEG32,2,9,0.7847222222222222,0,0,0,0,90,59,8,0,0.4444444444444444,0.6804482853491217,0,0,0.4808525581302655,4
SCH,SEG33,6,7,1.1041666666666663,0,0,0,0,92,73,3,0,0.07142857142857142,NA,0.8910102688038912,0.079768688571216,3.465613618864738,28
SCH,SEG34,2,6,0.5972222222222222,0,0,0,0,94,72,3,0,0.25,NA,0.8113677421644259,0,1.1650994497713163,10
SCH,SEG35,3,5,0.6458333333333333,0,0,0,0,94,77,4,0,0.26666666666666666,0.7019827457217059,4.742030076069207,0.2789429456511298,0.5499836190000905,4
SCH,SEG36,9,10,1.625,0,0,0,0,90,72,30,0,0.3333333333333333,1.7462020618042746,1.445027590745057,0.0611164092331939,6.2299917259196755,44
SCH,SEG37,6,15,1.6041666666666663,0,0,0,0,92,67,43,0,0.4777777777777778,1.705474348199121,1.744432443325109,0.0824014465429736,3.370710231092473,42
SCH,SEG38,8,12,1.6388888888888888,0,0,0,0,91,73,31,0,0.3229166666666667,2.724581218425057,0.9082179580213944,0.06896151329046524,6.615209949115272,61
SCH,SEG39,5,13,1.3680555555555556,0,0,0,0,93,67,30,0,0.4615384615384616,1.5244916240566189,0.4659800028906792,0,2.11462049373663,16
SCH,SEG40,4,16,1.4444444444444444,0,0,0,0,93,63,26,0,0.40625,0.7963884764335162,0.2789429456511298,0,2.609310403318476,16
SCH,SEG41,6,7,1.1041666666666663,0,0,0,0,88,76,16,0,0.380952380952381,1.1436766233559186,0.24426729022790453,0,3.169213198033052,38
SCH,SEG42,7,11,1.4652777777777777,0,0,0,0,91,71,28,0,0.3636363636363637,0.13374083628469097,3.014628544974607,0.19174472450763863,5.725492527869451,56
SCH,SEG43,3,12,1.0833333333333333,0,0,0,0,94,68,16,0,0.4444444444444444,0.5125378611919674,0.8,0,1.1969095894654125,7
SCH,SEG46,5,6,0.9305555555555556,0,0,0,0,93,74,8,0,0.26666666666666666,0.7555234231219012,6.333428376913146,0.40369440861835026,2.4225256598080644,12
SCH,SEG47,8,10,1.5138888888888888,0,0,0,0,89,77,35,0,0.4375,0.34675063196402556,0.4807047028992468,0,3.235629810096645,19
SCH,SEG48,5,11,1.2430555555555556,0,0,0,0,92,67,19,0,0.34545454545454546,0.2575548917447577,1.600852788159153,0.17284356202170267,2.3422597767969915,24
SCH,SEG49,5,12,1.3055555555555556,0,0,0,0,85,68,27,0,0.45,0.05780743849704391,1.3574153741342423,0.12152412607595545,1.8515524409656032,13
